Epoch,GPU_Memory_MB,CPU_RAM_Used_MB,CPU_RAM_Total_MB,Epoch_Training_Time_Seconds
1,6174,31571.070976,574461.878272,152.63422274589539
2,6254,31678.087168,574461.878272,6.905474424362183
3,6254,31707.164672,574461.878272,6.849475860595703
4,6254,31785.046016,574461.878272,6.745657920837402
5,6254,31839.367168,574461.878272,6.8776092529296875
6,6254,31855.456256,574461.878272,3.806797981262207
7,6254,31901.687808,574461.878272,4.116555452346802
8,6254,31908.47488,574461.878272,3.8088419437408447
9,6254,31912.226816,574461.878272,3.8162362575531006
10,6254,31929.720832,574461.878272,8.117314100265503
11,6254,31961.092096,574461.878272,6.8419740200042725
12,6254,31960.715264,574461.878272,3.781416416168213
13,6254,31984.504832,574461.878272,6.879171133041382
14,6254,31993.2416,574461.878272,3.781585216522217
15,6254,32001.093632,574461.878272,3.7362608909606934
16,6254,32024.772608,574461.878272,6.829342842102051
17,6254,32030.22848,574461.878272,3.8170082569122314
18,6254,32030.552064,574461.878272,5.017964839935303
19,6254,32048.132096,574461.878272,3.7785260677337646
20,6254,32048.857088,574461.878272,3.785511016845703
21,6254,32049.19296,574461.878272,3.762949228286743
22,6254,32068.083712,574461.878272,3.814805269241333
23,6254,32077.29152,574461.878272,3.7470781803131104
24,6254,32086.265856,574461.878272,3.7526848316192627
25,6254,32095.0272,574461.878272,3.8092448711395264
26,6254,32108.15488,574461.878272,8.207795143127441
27,6254,32140.193792,574461.878272,6.877029895782471
28,6254,32146.75968,574461.878272,3.73884654045105
29,6254,32146.804736,574461.878272,3.733226776123047
30,6254,32149.045248,574461.878272,3.7178876399993896
31,6254,32149.487616,574461.878272,3.773160457611084
32,6254,32152.53504,574461.878272,3.7791974544525146
33,6254,32150.36416,574461.878272,3.795128107070923
34,6254,32151.158784,574461.878272,3.7260091304779053
35,6254,32151.822336,574461.878272,3.740269660949707
36,6254,32155.283456,574461.878272,3.766195774078369
37,6254,32155.52512,574461.878272,3.7578234672546387
