Epoch,GPU_Memory_MB,CPU_RAM_Used_MB,CPU_RAM_Total_MB,Epoch_Training_Time_Seconds
1,10496,44889.321472,574461.878272,737.2429256439209
2,10540,44918.329344,574461.878272,5.14124608039856
3,10540,44933.26336,574461.878272,5.043171167373657
4,10540,44960.096256,574461.878272,5.030096054077148
5,10540,44959.739904,574461.878272,8.167628765106201
6,10540,44996.939776,574461.878272,8.263235569000244
7,10540,45014.880256,574461.878272,8.22829556465149
8,10540,45060.775936,574461.878272,5.094533443450928
9,10540,45096.579072,574461.878272,5.0705039501190186
10,10540,45098.098688,574461.878272,4.973323106765747
11,10540,45113.516032,574461.878272,8.15337324142456
12,10540,45082.918912,574461.878272,5.072793245315552
13,10540,45130.743808,574461.878272,4.986963510513306
14,10540,45134.86848,574461.878272,5.068588018417358
15,10540,45195.8784,574461.878272,5.169308423995972
16,10540,45224.800256,574461.878272,5.257430076599121
17,10540,45250.51904,574461.878272,5.184452772140503
18,10540,45192.392704,574461.878272,10.038050413131714
19,10540,45202.98496,574461.878272,4.9676947593688965
20,10540,45204.832256,574461.878272,5.0069544315338135
21,10540,45204.76672,574461.878272,4.922243118286133
