Epoch,GPU_Memory_MB,CPU_RAM_Used_MB,CPU_RAM_Total_MB,Epoch_Training_Time_Seconds
1,10446,40705.060864,574461.878272,310.32653856277466
2,10446,40546.750464,574461.878272,3.769792318344116
3,10446,40560.603136,574461.878272,3.673396110534668
4,10446,40585.633792,574461.878272,4.919288396835327
5,10446,40623.517696,574461.878272,5.32664155960083
6,10446,40618.696704,574461.878272,5.514008522033691
7,10446,40632.471552,574461.878272,8.398246049880981
8,10446,40628.604928,574461.878272,5.289907455444336
9,10446,40630.226944,574461.878272,3.4849605560302734
10,10446,40653.205504,574461.878272,5.095411539077759
11,10446,40653.918208,574461.878272,3.6052865982055664
12,10446,40617.263104,574461.878272,5.291842699050903
13,10446,40617.959424,574461.878272,3.487933397293091
14,10446,40610.541568,574461.878272,5.331623554229736
15,10446,40612.716544,574461.878272,3.4755821228027344
16,10446,40628.61312,574461.878272,5.274561405181885
17,10446,40632.307712,574461.878272,3.4137215614318848
18,10446,40644.448256,574461.878272,3.4842870235443115
19,10446,40440.516608,574461.878272,3.480125665664673
20,10446,40028.295168,574461.878272,3.4852888584136963
21,10446,40086.716416,574461.878272,3.4402618408203125
22,10446,39898.742784,574461.878272,3.4191887378692627
23,10446,39904.108544,574461.878272,3.68635630607605
24,10446,39916.376064,574461.878272,3.4611730575561523
25,10446,39944.024064,574461.878272,3.379875421524048
26,10446,39946.805248,574461.878272,3.359194040298462
