Epoch,GPU_Memory_MB,CPU_RAM_Used_MB,CPU_RAM_Total_MB,Epoch_Training_Time_Seconds
1,10352,35432.476672,574461.878272,231.91597080230713
2,10436,35507.298304,574461.878272,9.588895797729492
3,10436,35522.10944,574461.878272,9.58664059638977
4,10436,35535.532032,574461.878272,9.57546091079712
5,10436,35549.310976,574461.878272,9.790571689605713
6,10436,35566.231552,574461.878272,5.1555421352386475
7,10436,35572.649984,574461.878272,9.51117467880249
8,10436,35587.919872,574461.878272,5.173692226409912
9,10436,35596.693504,574461.878272,5.1341845989227295
10,10436,35598.958592,574461.878272,5.143962144851685
11,10436,35597.975552,574461.878272,9.496097803115845
12,10436,35613.2864,574461.878272,9.571405172348022
13,10436,39648.886784,574461.878272,1151.915108203888
14,10436,39643.140096,574461.878272,8.469665050506592
15,10436,39657.508864,574461.878272,8.07247018814087
16,10436,39693.758464,574461.878272,8.681843280792236
17,10436,39684.182016,574461.878272,8.520540952682495
18,10436,39717.883904,574461.878272,8.258063554763794
19,10436,39738.53184,574461.878272,8.754224061965942
20,10436,39769.141248,574461.878272,8.657946109771729
21,10436,39788.396544,574461.878272,8.404242992401123
22,10436,39787.266048,574461.878272,8.80616307258606
23,10436,39772.450816,574461.878272,8.575092792510986
