Epoch,GPU_Memory_MB,CPU_RAM_Used_MB,CPU_RAM_Total_MB,Epoch_Training_Time_Seconds
1,4072,37061.025792,574461.878272,187.42871499061584
2,4122,37093.003264,574461.878272,5.2992846965789795
3,4122,37121.65888,574461.878272,8.38884711265564
4,4122,37157.257216,574461.878272,11.005589246749878
5,4122,37191.057408,574461.878272,5.186517238616943
6,4122,37208.94464,574461.878272,5.097752809524536
7,4122,37254.67648,574461.878272,8.835469245910645
8,4122,37277.274112,574461.878272,6.630905628204346
9,4122,37531.025408,574461.878272,13.704747200012207
10,4122,37714.161664,574461.878272,5.4726972579956055
11,4122,38036.037632,574461.878272,9.693880558013916
12,4122,38111.70304,574461.878272,8.877952814102173
13,4122,38118.68672,574461.878272,5.172844409942627
14,4122,38124.89216,574461.878272,5.100532531738281
15,4122,38124.93312,574461.878272,5.219580173492432
16,4122,38126.686208,574461.878272,5.643522024154663
17,4122,38134.04672,574461.878272,9.666356086730957
18,4122,38102.409216,574461.878272,4.523854970932007
19,4122,38096.519168,574461.878272,4.34102463722229
20,4122,38092.43136,574461.878272,5.032364130020142
21,4122,38060.937216,574461.878272,7.341746807098389
22,4122,38061.355008,574461.878272,4.450689077377319
23,4122,38059.54048,574461.878272,4.176651239395142
24,4122,37977.423872,574461.878272,7.377647876739502
25,4122,37981.044736,574461.878272,4.708139419555664
26,4122,37990.576128,574461.878272,4.299734115600586
27,4122,37994.196992,574461.878272,4.549111366271973
28,4122,37993.889792,574461.878272,4.267877578735352
29,4122,38014.365696,574461.878272,4.331440687179565
30,4122,38017.482752,574461.878272,4.433896780014038
31,4122,38016.679936,574461.878272,4.222421646118164
32,4122,38017.90464,574461.878272,4.246116638183594
33,4122,38015.188992,574461.878272,4.37768292427063
34,4122,38013.93152,574461.878272,4.434574604034424
